	Word	PoS	FrSp		LL	FrWr
	divided	Verb	27	-	55.4	41
	attack	NoC	27	-	492.9	83
	planning	Verb	27	-	150.1	53
	asleep	Adj	27	+	2.3	24
	employers	NoC	27	-	74.6	44
	caravan	NoC	27	+	242.8	8
	downstairs	Adv	27	+	52.8	16
	ya	Int	27	+	957.9	1
	highly	Adv	27	-	710.5	99
	practical	Adj	27	-	494.5	83
	councillors	NoC	27	+	24.3	19
	J / j	Lett	27	+	96.1	13
	identify	Verb	27	-	148.9	53
	filled	Verb	27	-	170.5	55
	pop	Verb	27	+	233.0	8
	suspect	Verb	27	+	22.2	20
	parent	NoC	27	-	38.2	39
	decent	Adj	27	+	37.1	18
	turns	Verb	27	-	10.6	33
	blind	Adj	27	+	0.2	26
	teaching	NoC	27	-	224.9	60
	fridge	NoC	27	+	265.1	7
	guidance	NoC	27	-	11.6	33
	server	NoC	27	+	90.3	13
	assessment	NoC	27	-	358.0	72
	smoke	Verb	27	+	173.8	10
	suggesting	Verb	27	+	0.9	25
	introduce	Verb	27	-	25.3	36
	sending	Verb	27	+	0.0	26
	briefly	Adv	27	-	14.8	34
	shot	NoC	27	-	14.2	33
	earlier	Adj	27	-	403.5	75
	lack	NoC	27	-	703.5	98
	mostly	Adv	27	-	55.0	41
	rail	NoC	26	-	56.9	41
	tin	NoC	26	+	20.6	19
	developed	Verb	26	-	1013.2	119
	steps	NoC	26	-	359.0	72
	recall	Verb	26	+	0.4	25
	block	NoC	26	-	32.7	37
	on behalf of	Prep	26	-	0.3	27
	seconded	Verb	26	+	554.4	3
	related	Verb	26	-	233.1	60
	below	Prep	26	-	212.2	58
	heat	NoC	26	-	195.4	57
	forces	NoC	26	-	1102.6	124
	factor	NoC	26	-	303.3	67
	farmers	NoC	26	-	159.7	53
	birds	NoC	26	-	231.6	60
	spare	Adj	26	+	26.2	18
	reaction	NoC	26	-	218.9	59
	spoken	Verb	26	-	1.8	29
	clear	Verb	26	+	2.2	24
	whom	Pron	26	-	1368.5	141
	prepared	Verb	26	-	177.1	55
	physical	Adj	26	-	791.6	103
	elections	NoC	26	-	267.9	63
	lecture	NoC	26	+	46.4	16
	Frank	NoP	26	-	42.5	39
	argue	Verb	26	-	86.6	45
	task	NoC	26	-	741.7	100
	claim	Verb	26	-	130.5	50
	salary	NoC	26	+	19.6	19
	essential	Adj	26	-	663.8	94
	exciting	Adj	26	-	19.4	34
	western	Adj	26	-	852.6	107
	nevertheless	Adv	26	-	445.9	78
	complicated	Adj	26	-	4.0	29
	dozen	NoC	26	-	0.8	27
	address	Verb	26	+	22.3	19
	animal	NoC	26	-	374.3	72
	urban	Adj	26	-	207.2	57
	among	Prep	26	-	3242.3	252
	soft	Adj	26	-	296.7	66
	computers	NoC	26	-	36.0	37
	occasions	NoC	26	-	55.6	40
	roughly	Adv	26	+	3.1	23
	Derek	NoP	26	+	20.2	19
	broken	Verb	26	-	90.9	45
	trial	NoC	26	-	342.2	69
	solicitor	NoC	26	-	13.1	32
	brain	NoC	26	-	136.2	50
	analysis	NoC	26	-	1437.9	145
	gate	NoC	26	-	34.6	37
	Alex	NoP	26	+	25.0	18
	Africa	NoP	26	-	539.4	84
	chest	NoC	26	-	51.8	39
	realized	Verb	26	-	10.6	31
	falling	Verb	26	-	102.9	46
	poll	NoC	26	-	3.3	29
	added	Verb	26	-	1557.6	152
	described	Verb	26	-	1725.5	162
	records	NoC	26	-	435.4	76
	clock	NoC	26	-	3.7	29
	badly	Adv	26	-	97.9	45
	costs	Verb	26	-	17.1	33
	kind of	Adv	26	+	481.5	3
	Smith	NoP	26	-	549.3	85
	alive	Adj	26	-	90.2	44
	average	NoC	25	-	37.1	37
	requirement	NoC	25	-	18.3	33
	teach	Verb	25	-	3.2	29
	protect	Verb	25	-	183.0	54
	definition	NoC	25	-	148.1	51
	folk	NoC	25	+	9.0	21
	elsewhere	Adv	25	-	247.2	60
	employed	Verb	25	-	152.7	51
	secondly	Adv	25	-	4.7	29
	joke	NoC	25	+	8.2	21
	peasant	NoC	25	+	47.8	15
	assembly	NoC	25	-	216.1	57
	importance	NoC	25	-	847.0	105
	student	NoC	25	-	526.0	82
	projects	NoC	25	-	233.2	59
	Kevin	NoP	25	+	1.6	23
	examples	NoC	25	-	440.8	76
	setting	Verb	25	-	114.3	47
	comfortable	Adj	25	-	70.7	41
	nowadays	Adv	25	+	49.0	15
	due to	Prep	25	-	547.5	84
	fast	Adj	25	-	14.5	32
	smell	Verb	25	+	136.5	10
	Sally	NoP	25	+	69.7	14
	beginning	Verb	25	-	208.3	56
	version	NoC	25	-	601.7	88
	hanging	Verb	25	+	1.2	23
	began	Verb	25	-	3462.2	262
	Steven	NoP	25	+	133.3	10
	butter	NoC	25	+	8.7	20
	form	Verb	25	-	562.0	85
	motor	NoC	25	-	90.8	44
	progress	NoC	25	-	528.3	82
	camera	NoC	25	-	2.1	27
	root	NoC	25	+	10.3	20
	liberal*	Adj	25	-	222.9	57
	reduced	Verb	25	-	377.1	71
	occasion	NoC	25	-	207.5	56
	dress	NoC	25	-	90.4	43
	player	NoC	25	-	257.6	60
	newspaper	NoC	25	-	180.0	53
	bright	Adj	25	-	227.0	58
	equals	Verb	25	+	408.1	4
	boss	NoC	25	-	20.1	33
	describe	Verb	25	-	104.6	45
	packet	NoC	25	+	125.7	10
	gosh	Int	25	+	717.3	1
	temperature	NoC	25	-	111.4	46
	revenue	NoC	25	-	82.7	43
	green	NoC	25	-	13.0	31
	famous	Adj	25	-	375.8	70
	identified	Verb	25	-	324.5	66
	sheets	NoC	25	+	0.3	24
	arrangements	NoC	25	-	274.3	62
	literally	Adv	25	+	12.3	19
	brings	Verb	25	-	22.1	33
	objectives	NoC	25	-	109.8	46
	Major	NoP	25	-	87.1	43
	agency	NoC	25	-	292.5	63
	managers	NoC	25	-	282.8	62
	violence	NoC	25	-	253.5	60
	priority	NoC	25	-	33.1	35
	explained	Verb	25	-	451.7	76
	considerable	Adj	24	-	855.2	104
	Pete	NoP	24	+	103.1	11
	youth	NoC	24	-	231.2	58
	suitable	Adj	24	-	318.3	65
	location	NoC	24	-	82.2	42
	grand	Adj	24	-	140.6	49
	arts	NoC	24	-	220.1	57
	represent	Verb	24	-	135.4	48
	pack	NoC	24	-	0.5	26
	becoming	Verb	24	-	463.9	77
	specifically	Adv	24	-	60.1	39
	Dennis	NoP	24	+	57.4	14
	heads	NoC	24	-	211.3	55
	New	NoP-	24	-	1023.7	115
	variety	NoC	24	-	717.4	95
	Christian	Adj	24	-	337.6	66
	recommendation	NoC	24	+	75.1	13
	learning	Verb	24	-	63.6	39
	blame	Verb	24	+	0.7	23
	growing	Verb	24	-	43.1	36
	options	NoC	24	-	62.5	39
	brief	Adj	24	-	158.1	50
	bearing	Verb	24	+	2.4	22
	reasonably	Adv	24	-	16.6	31
	partly	Adv	24	-	273.9	61
	led	Verb	24	-	1901.2	170
	fields	NoC	24	-	281.5	62
	Pat	NoP	24	+	26.8	17
	active	Adj	24	-	494.7	78
	nowhere	Adv	24	+	0.2	24
	achieved	Verb	24	-	590.0	86
	minor	Adj	24	-	149.7	49
	grown	Verb	24	-	112.0	45
	doubt	Verb	24	+	4.4	21
	prison	NoC	24	-	372.5	69
	aspect	NoC	24	-	117.5	46
	ta	Int	24	+	245.3	6
	capacity	NoC	24	-	294.7	63
	round	NoC	24	-	42.5	36
	Mick	NoP	24	+	54.6	14
	larger	Adj	24	-	552.1	82
	arrived	Verb	24	-	742.9	96
	keys	NoC	24	+	0.9	22
	audience	NoC	24	-	249.8	58
	solution	NoC	24	-	440.3	74
	recognize	Verb	24	+	4.2	21
	serve	Verb	24	-	231.8	57
	laws	NoC	24	-	171.9	51
	cook	Verb	24	+	33.8	16
	Clare	NoP	24	+	3.0	21
	trip	NoC	24	-	140.3	48
	sky	NoC	24	-	192.6	53
	gentlemen	NoC	24	+	54.7	14
	limit	NoC	24	-	37.9	35
	committed	Verb	24	-	147.7	48
	districts	NoC	24	+	22.2	17
	Helen	NoP	24	-	5.6	28
	hope	NoC	24	-	262.8	59
	score	NoC	24	-	6.3	28
	trust	Verb	24	-	9.6	29
	expenditure	NoC	24	-	259.3	59
	disgusting	Adj	24	+	255.1	6
	pulling	Verb	24	-	0.3	24
	commercial	Adj	24	-	596.3	85
	heating	NoC	24	+	7.0	20
	spot	NoC	24	-	101.2	43
	dictionary	NoC	24	+	14.6	18
	organisation	NoC	24	-	673.1	90
	moon	NoC	24	-	12.7	30
	German	Adj	24	-	918.9	107
	impossible	Adj	24	-	477.5	76
	proposed	Adj	24	-	81.2	41
	detailed	Adj	24	-	332.2	65
	recognise	Verb	24	-	59.4	38
	in general	Adv	24	-	105.6	44
	overall	Adj	24	-	327.2	64
	visit	Verb	24	-	203.8	54
	image	NoC	24	-	538.2	81
	carbon	NoC	24	-	0.6	25
	teaching	Verb	24	-	36.7	34
	act	Verb	24	-	310.3	63
	Sussex	NoP	24	+	7.4	19
	created	Verb	23	-	705.7	92
	Marks	NoP	23	+	194.5	7
	ho	Int	23	+	579.0	2
	slow	Adj	23	-	181.8	51
	trained	Verb	23	-	16.4	30
	grateful	Adj	23	-	7.0	28
	conclusion	NoC	23	-	210.1	54
	proportion	NoC	23	-	374.4	68
	return	NoC	23	-	741.3	95
	Graham	NoP	23	-	113.4	44
	aircraft	NoC	23	-	357.8	66
	grey	Adj	23	-	173.9	50
	Lee	NoP	23	-	58.7	38
	propose	Verb	23	+	60.7	13
	occasionally	Adv	23	-	93.4	42
	quarters	NoC	23	+	16.9	17
	crap	NoC	23	+	312.2	5
	Karen	NoP	23	+	33.1	15
	fox	NoC	23	+	183.6	8
	marketing	NoC	23	-	195.7	52
	wow	Int	23	+	487.5	3
	terribly	Adv	23	+	84.3	11
	nursery	NoC	23	+	16.8	17
	awkward	Adj	23	+	35.4	15
	feed	Verb	23	-	0.8	25
	latest	Adj	23	-	410.2	70
	spread	Verb	23	-	157.1	49
	reality	NoC	23	-	406.7	70
	sufficient	Adj	23	-	326.0	63
	signed	Verb	23	-	300.0	61
	failed	Verb	23	-	774.2	96
	lie	Verb	23	-	126.4	45
	migration	NoC	23	+	67.9	12
	seek	Verb	23	-	261.1	58
	pool	NoC	23	-	149.3	47
	professor	NoC	23	-	229.7	55
	streets	NoC	23	-	200.4	52
	worth	NoC	23	+	1.4	21
	ended	Verb	23	-	522.6	78
	spending	NoC	23	-	66.8	38
	mark	Verb	23	-	2.4	25
	fat	Adj	23	-	9.9	28
	tenants	NoC	23	+	6.1	19
	engineering	NoC	23	-	219.6	54
	organisations	NoC	23	-	216.2	54
	missing	Verb	23	-	16.9	30
	recommendations	NoC	23	-	3.6	26
	understood	Verb	23	-	303.3	61
	teams	NoC	23	-	93.3	41
	pushing	Verb	23	-	0.2	24
	events	NoC	23	-	1048.3	114
	increased	Verb	23	-	533.8	79
	drop	NoC	23	+	0.5	22
	lessons	NoC	23	-	0.0	23
	screen	NoC	23	-	181.4	51
	firms	NoC	23	-	564.2	81
	Fred	NoP	23	+	1.1	21
	release	NoC	23	-	188.7	51
	C. / c.	Lett	23	+	648.8	1
	pie	NoC	23	+	101.4	10
	acceptable	Adj	23	-	68.3	38
	offices	NoC	23	-	137.7	46
	Uncle	NoC	23	-	59.1	37
	Matthew	NoP	23	-	4.7	26
	ideal	Adj	23	-	175.0	50
	blow	Verb	23	+	73.0	12
	late	Adv	23	-	113.1	43
	status	NoC	23	-	769.8	95
	offer	NoC	23	-	343.8	64
	supported	Verb	23	-	293.4	60
	friendly	Adj	23	-	87.3	40
	ps	Lett	23	+	1065.1	0
	journey	NoC	23	-	186.4	51
	exist	Verb	23	-	269.7	58
	speakers	NoC	23	+	0.2	22
	substantial	Adj	23	-	375.3	67
	phrase	NoC	23	-	24.6	31
	remain	Verb	23	-	809.5	98
	penny	NoC	23	+	87.3	11
	dream	NoC	23	-	87.1	40
	stress	NoC	23	-	86.2	40
	traditional	Adj	23	-	958.7	108
	frightened	Adj	23	+	1.8	21
	magazine	NoC	23	-	176.5	50
	jacket	NoC	23	-	23.5	31
	forced	Verb	23	-	560.3	80
	pushed	Verb	23	-	220.9	54
	condition	NoC	22	-	701.9	90
	ow	Int	22	+	1056.0	0
	pot	NoC	22	+	5.9	19
	pit	NoC	22	+	15.1	17
	male	Adj	22	-	795.1	96
	zero	Num	22	+	42.5	14
	concentrate	Verb	22	-	28.0	32
	link	NoC	22	-	101.9	42
	Claire	NoP	22	+	100.3	10
	businesses	NoC	22	-	74.5	38
	payment	NoC	22	-	269.7	58
	equally	Adv	22	-	431.6	71
	limited	Adj	22	-	411.2	69
	stopping	Verb	22	+	28.3	15
	tall	Adj	22	-	166.6	48
	documents	NoC	22	-	144.8	46
	conscious	Adj	22	-	29.0	32
	instead	Adv	22	-	570.0	81
	rise	NoC	22	-	523.4	77
	naughty	Adj	22	+	268.9	5
	bodies	NoC	22	-	495.8	75
	except	Conj	22	-	118.7	43
	boundary	NoC	22	+	1.9	20
	database	NoC	22	-	54.3	35
	policeman	NoC	22	+	0.3	21
	thin	Adj	22	-	237.4	54
	buildings	NoC	22	-	451.2	72
	strength	NoC	22	-	528.0	77
	pleasure	NoC	22	-	252.1	56
	invited	Verb	22	-	130.4	44
	accommodation	NoC	22	-	149.6	46
	fixed	Adj	22	-	68.6	37
	expecting	Verb	22	+	0.2	21
	gap	NoC	22	-	58.8	36
	spring	NoC	22	-	287.4	59
	fit	Adj	22	-	26.2	31
	uses	Verb	22	-	76.6	38
	reported	Verb	22	-	1241.1	124
	introduction	NoC	22	-	453.8	71
	stick	NoC	22	+	6.5	18
	bird	NoC	22	-	72.7	38
	shower	NoC	22	+	34.9	14
	tied	Verb	22	-	5.7	26
	democracy	NoC	22	-	134.9	45
	confident	Adj	22	-	44.2	34
	appears	Verb	22	-	611.5	83
	travel	Verb	22	-	81.8	39
	tools	NoC	22	-	40.3	33
	photograph	NoC	22	-	3.8	25
	OK*	Adv	22	+	8.7	18
	objective	NoC	22	-	24.5	30
	heaven	NoC	22	-	3.0	25
	seats	NoC	22	-	187.3	50
	pensions	NoC	22	+	4.3	19
	cause	NoC	22	-	547.0	78
	K. / k.	Lett	22	+	1024.3	0
	players	NoC	22	-	696.8	89
	unusual	Adj	22	-	125.3	43
	situations	NoC	22	-	100.6	41
	maintenance	NoC	22	-	113.0	42
	path	NoC	22	-	399.1	67
	Scottish	Adj	22	-	979.4	107
	travel	NoC	22	-	73.6	37
	communist	Adj	22	-	130.3	44
	measure	Verb	22	+	7.6	18
	checked	Verb	22	-	6.7	26
	that is	Adv	22	-	177.4	48
	religious	Adj	22	-	447.5	71
	chairs	NoC	22	+	2.1	20
	Joan	NoP	22	+	3.4	19
	tablets	NoC	22	+	143.6	8
	usual	Adj	22	-	422.2	69
	recommend	Verb	22	+	7.5	18
	communication	NoC	22	-	382.5	66
	Sam	NoP	22	-	39.2	32
	concept	NoC	22	-	428.0	69
	thrown	Verb	22	-	33.0	31
	South	NoP	22	-	467.0	72
	typical	Adj	22	-	215.0	52
	Billy	NoP	22	-	0.0	22
	despite	Prep	22	-	1846.0	160
	present	Verb	22	-	54.5	35
	whether or not	Conj	22	-	22.5	30
	as opposed to	Prep	21	+	14.0	16
	regulations	NoC	21	-	141.2	45
	Amy	NoP	21	+	176.8	7
	percentage	NoC	21	-	19.7	29
	sight	NoC	21	-	460.3	71
	Scott	NoP	21	-	43.0	33
	apple	NoC	21	-	11.7	27
	real	Adv	21	+	459.3	2
	Inspector	NoC	21	-	26.9	30
	breaking	Verb	21	-	29.0	31
	loves	Verb	21	+	63.9	11
	suffer	Verb	21	-	68.3	36
	lords	NoC	21	+	24.4	15
	shot	Verb	21	-	226.9	53
	shopping	Verb	21	+	123.2	8
	politics	NoC	21	-	593.7	81
	deliver	Verb	21	-	0.0	22
	verse	NoC	21	+	40.8	13
	marriage	NoC	21	-	660.4	85
	former	DetP	21	-	2312.2	187
	tends	Verb	21	-	4.9	25
	allowance	NoC	21	-	0.0	22
	opening	NoC	21	-	242.1	54
	plants	NoC	21	-	555.7	78
	domestic	Adj	21	-	507.5	74
	inflation	NoC	21	-	175.1	48
	closed	Adj	21	+	0.9	20
	powers	NoC	21	-	489.2	73
	slowly	Adv	21	-	671.8	86
	seventh	Ord	21	+	28.3	14
	local	NoC	21	+	4.4	18
	coast	NoC	21	-	191.8	49
	near	Adv	21	+	14.5	16
	repeat	Verb	21	-	14.1	27
	elements	NoC	21	-	435.7	69
	previously	Adv	21	-	506.8	74
	rock	NoC	21	-	432.7	69
	French	NoC	21	-	68.5	36
	boot	NoC	21	+	29.6	14
	published	Verb	21	-	998.2	107
	sweets	NoC	21	+	201.5	6
	roll	NoC	21	+	28.1	14
	shock	NoC	21	-	142.6	44
	underneath	Adv	21	+	161.5	7
	purposes	NoC	21	-	355.1	63
	permission	NoC	21	-	50.3	34
	facts	NoC	21	-	276.9	56
	suit	NoC	21	-	39.1	32
	critical	Adj	21	-	344.8	62
	disease	NoC	21	-	842.3	97
	package	NoC	21	-	336.0	61
	shirt	NoC	21	-	22.0	29
	nurse	NoC	21	-	46.5	33
	metres	NoC	21	-	65.4	35
	working	NoC	21	-	106.6	40
	treated	Verb	21	-	514.8	74
	familiar	Adj	21	-	339.3	61
	employees	NoC	21	-	359.3	63
	snow	NoC	21	-	34.3	31
	tight	Adj	21	-	3.0	24
	chain	NoC	21	-	91.8	39
	individual	NoC	21	-	311.2	59
	clue	NoC	21	+	81.1	10
	plaintiff	NoC	21	-	34.4	31
	designed	Verb	21	-	1043.8	110
	cross	Verb	21	-	1.8	23
	text	NoC	21	-	642.5	83
	Banbury	NoP	21	+	260.2	5
	chances	NoC	21	-	39.4	32
	constant	Adj	21	-	214.9	51
	back	Verb	21	+	89.7	9
	require	Verb	21	-	522.7	74
	earn	Verb	21	+	0.5	20
	maintain	Verb	21	-	307.4	58
	committees	NoC	21	-	18.9	28
	strongly	Adv	21	-	196.5	49
	lorry	NoC	21	+	40.1	13
	Jackie	NoP	21	+	119.3	8
	purely	Adv	21	-	11.6	26
	formal	Adj	21	-	454.9	69
	except	Prep	21	-	38.0	31
	ear	NoC	21	-	28.7	30
	bid	NoC	21	-	42.7	32
	lump	NoC	21	+	73.7	10
	stands	Verb	21	-	30.9	30
	contracts	NoC	21	-	180.8	47
	treat	Verb	21	-	40.3	31
	fat	NoC	21	+	2.8	18
	lift	Verb	21	+	1.0	19
	plain	Adj	21	-	30.8	30
	functions	NoC	21	-	269.8	55
	potential	Adj	21	-	482.5	71
	loved	Verb	21	-	204.6	49
	boots	NoC	21	-	13.3	26
	attractive	Adj	21	-	272.9	55
	quote	Verb	21	+	96.3	9
	goals	NoC	20	-	219.2	50
	contact	Verb	20	-	152.5	44
	differences	NoC	20	-	676.5	85
	residents	NoC	20	-	78.1	36
	fast	Adv	20	-	178.1	47
	pudding	NoC	20	+	134.1	7
	Anne	NoP	20	-	176.7	47
	tenth	Ord	20	+	69.1	10
	Edinburgh	NoP	20	-	393.0	64
	socks	NoC	20	+	100.8	9
	description	NoC	20	-	271.8	55
	Thomas	NoP	20	-	515.5	73
	nicely	Adv	20	+	109.4	8
	lordship	NoC	20	+	171.9	6
	discussions	NoC	20	-	49.8	33
	Julie	NoP	20	+	26.1	14
	fighting	Verb	20	-	93.7	38
	backwards	Adv	20	+	3.3	18
	organizations	NoC	20	-	39.6	31
	scene	NoC	20	-	518.9	74
	code	NoC	20	-	282.1	56
	temporary	Adj	20	-	115.7	40
	aunty	NoC	20	+	721.7	1
	stations	NoC	20	-	102.1	39
	Thatcher	NoP	20	-	69.9	35
	cow	NoC	20	+	31.2	13
	William	NoP	20	-	779.4	91
	inner	Adj	20	-	190.9	48
	recession	NoC	20	-	112.0	40
	X. / x.	Lett	20	+	951.8	0
	applied	Verb	20	-	493.5	72
	level	Adj	20	-	11.3	26
	need*	VMod	20	-	68.7	35
	wider	Adj	20	-	245.2	52
	surface	NoC	20	-	882.5	98
	ignore	Verb	20	-	10.4	25
	presents	NoC	20	+	125.2	8
	hungry	Adj	20	+	1.4	18
	pupils	NoC	20	-	741.0	88
	inch	NoC	20	+	3.6	17
	charged	Verb	20	-	214.7	50
	prove	Verb	20	-	364.8	62
	cuts	NoC	20	-	37.6	30
	clubs	NoC	20	-	112.8	40
	holes	NoC	20	-	20.0	27
	profits	NoC	20	-	369.6	62
	tests	NoC	20	-	262.7	53
	stand	NoC	20	+	0.8	19
	orange	NoC	20	+	42.5	12
	bin	NoC	20	+	156.6	7
	enable	Verb	20	-	234.3	51
	graph	NoC	20	+	88.7	9
	extension	NoC	20	-	88.0	37
	Lisa	NoP	20	+	39.2	12
	owe	Verb	20	+	43.6	12
	survive	Verb	20	-	87.4	37
	washed	Verb	20	+	0.3	19
	biscuit	NoC	20	+	264.7	4
	disabled	Adj	20	-	52.5	32
	ears	NoC	20	-	45.3	31
	religion	NoC	20	-	187.5	47
	invite	Verb	20	+	46.4	11
	feelings	NoC	20	-	310.9	57
	shout	Verb	20	+	88.8	9
	minds	NoC	20	-	32.6	29
	mill	NoC	20	-	65.7	34
	madam	NoC	20	+	145.5	7
	allocation	NoC	20	+	1.4	18
	once again	Adv	20	-	109.6	39
	duck	NoC	20	+	56.8	11
	justice	NoC	20	-	519.8	73
	yards	NoC	20	-	106.3	39
	drug	NoC	20	-	268.5	54
	newspapers	NoC	20	-	91.4	37
	sure	Adv	20	+	271.0	4
	replace	Verb	20	-	80.9	36
	states	NoC	20	-	666.8	83
	fuel	NoC	20	-	155.5	44
	publicity	NoC	20	-	15.6	26
	bid	Verb	20	+	136.3	7
	established	Verb	20	-	1062.1	108
	steel	NoC	20	-	112.5	39
	check	NoC	20	+	1.2	18
	thoughts	NoC	20	-	225.3	50
	fence	NoC	20	+	6.0	16
	presented	Verb	20	-	725.6	87
	facing	Verb	20	-	120.0	40
	diagram	NoC	20	+	39.9	12
	proud	Adj	20	-	59.3	33
	proposed	Verb	20	-	204.3	48
	beer	NoC	20	-	72.3	35
	diary	NoC	20	-	0.1	20
	millions	NoC	20	-	24.0	28
	cleared	Verb	20	-	22.8	27
	Irish	Adj	20	-	399.5	63
	Linda	NoP	20	+	49.1	11
	formula	NoC	20	-	23.1	27
	statements	NoC	20	-	161.8	44
	parking	NoC	20	+	17.8	14
	paint	NoC	20	-	3.8	23
	Lucy	NoP	20	-	27.0	28
	films	NoC	20	-	91.0	37
	rightly	Adv	20	+	15.5	14
	airport	NoC	20	-	40.9	30
	bottles	NoC	20	+	1.1	18
	Danny	NoP	20	+	113.2	8
	organized	Verb	20	-	0.0	20
	guys	NoC	19	+	47.2	11
	divide	Verb	19	+	47.8	11
	affected	Verb	19	-	331.4	58
	Australia	NoP	19	-	270.0	53
	fed up	Adj	19	+	196.8	5
	formally	Adv	19	-	3.8	22
	plane	NoC	19	-	87.3	36
	shares	NoC	19	-	723.0	86
	bills	NoC	19	-	51.9	32
	upset	Adj	19	+	2.3	17
	rude	Adj	19	+	87.5	9
	bastard	NoC	19	+	22.1	13
	files	NoC	19	-	43.9	31
	producing	Verb	19	-	147.1	42
	desperate	Adj	19	-	21.7	27
	opposition	NoC	19	-	931.6	99
	churches	NoC	19	-	96.1	37
	map	NoC	19	-	147.5	42
	touch	NoC	19	-	161.7	44
	chemistry	NoC	19	-	0.5	20
	signs	NoC	19	-	242.2	51
	bear	NoC	19	+	44.5	11
	fashion	NoC	19	-	211.2	48
	and so forth	Adv	19	+	257.8	4
	dressed	Verb	19	-	112.4	39
	minimum	Adj	19	-	48.6	31
	in touch with	Prep	19	+	29.8	12
	conflict	NoC	19	-	358.5	60
	battery	NoC	19	+	29.8	12
	mirror	NoC	19	-	121.9	40
	daily	Adj	19	-	351.5	59
	seeking	Verb	19	-	228.5	49
	motorway	NoC	19	+	49.1	11
	distribution	NoC	19	-	467.8	68
	emergency	NoC	19	-	147.1	42
	swimming	NoC	19	+	1.3	18
	circle	NoC	19	-	85.0	36
	selection	NoC	19	-	428.6	65
	Dr	NoC	19	-	1305.9	122
	mixed	Verb	19	-	7.7	24
	sees	Verb	19	-	100.8	37
	pensioners	NoC	19	+	25.0	13
	like	Adj	19	+	6.9	16
	abroad	Adv	19	-	143.7	42
	expert	NoC	19	-	149.0	42
	subjects	NoC	19	-	693.7	84
	Russell	NoP	19	-	1.7	21
	nan	NoC	19	+	287.8	3
	answered	Verb	19	-	127.9	40
	twelfth	Num	19	+	103.1	8
	A. / a.	Lett	19	+	823.8	0
	adults	NoC	19	-	80.3	35
	wake	Verb	19	+	15.9	14
	appeal	NoC	19	-	941.3	100
	fear	NoC	19	-	495.2	70
	efficient	Adj	19	-	152.3	42
	accent	NoC	19	+	18.2	14
	building	Verb	19	-	34.1	29
	babies	NoC	19	-	14.9	25
	intention	NoC	19	-	245.3	51
	mental	Adj	19	-	397.9	62
	retirement	NoC	19	-	89.5	36
	taste	NoC	19	-	93.0	36
	retired	Verb	19	+	0.2	18
	complaints	NoC	19	-	30.3	28
	dead	Adv	19	+	84.9	9
	swear	Verb	19	+	115.8	7
	tough	Adj	19	-	70.6	34
	multiply	Verb	19	+	256.4	4
	involve	Verb	19	-	179.2	45
	joking	Verb	19	+	175.0	6
	copies	NoC	19	-	97.7	37
	nuclear	Adj	19	-	775.2	88
	half way	Adv	19	+	281.8	3
	being	NoC	19	-	35.8	29
	finance	NoC	19	-	361.3	60
	Charlie	NoP	19	-	37.7	29
	charity	NoC	19	-	104.1	37
	fetch	Verb	19	+	38.9	11
	rather than	Conj	19	-	238.5	50
	cell	NoC	19	-	360.5	59
	initially	Adv	19	-	136.4	40
	source	NoC	19	-	942.0	99
	walls	NoC	19	-	436.4	65
	complex	Adj	19	-	624.2	78
	roll	Verb	19	+	0.9	18
	patch	NoC	19	+	6.5	15
	photographs	NoC	19	-	80.7	35
	tape	Verb	19	+	539.5	1
	pregnant	Adj	19	-	5.8	23
	served	Verb	19	-	492.6	69
	exams	NoC	19	+	166.1	6
	shared	Verb	19	-	117.1	38
	bugger	NoC	19	+	339.9	3
	arguments	NoC	19	-	140.7	41
	daft	Adj	19	+	174.6	5
	trading	NoC	19	-	143.6	41
	crisis	NoC	19	-	420.9	64
	youngsters	NoC	19	+	1.1	17
	hectares	NoC	19	+	142.7	6
	bible	NoC	19	-	0.5	20
	birth	NoC	19	-	319.8	56
	shouting	Verb	19	+	1.5	17
	lost	Adj	19	-	19.7	26
	broad	Adj	19	-	275.7	52
	store	NoC	19	-	113.1	38
	Kelly	NoP	19	-	3.7	22
	instructions	NoC	19	-	111.7	38
	Keith	NoP	19	-	42.6	29
	agent	NoC	19	-	203.1	46
	Dan	NoP	19	+	80.7	9
	conservatives	NoC	19	-	11.3	24
	grounds	NoC	19	-	457.7	66
	curtains	NoC	19	-	1.2	20
	measure	NoC	19	-	244.3	50
	fee	NoC	19	-	49.1	30
	advise	Verb	19	-	2.0	21
	discovered	Verb	19	-	500.1	69
	elected	Verb	19	-	224.5	48
	Tories	NoC	19	-	1.0	20
	cancer	NoC	19	-	186.9	45
	input	NoC	19	-	76.8	34
	suggestions	NoC	19	-	3.0	21
	hospitals	NoC	19	-	51.4	31
	pint	NoC	19	+	32.3	12
	kick	Verb	19	+	75.8	9
	Roger	NoP	19	-	24.9	27
	capable	Adj	19	-	287.0	53
	place	Verb	19	-	202.2	46
	coke	NoC	19	+	207.3	5
	dance	NoC	19	-	55.9	31
	volume	NoC	19	-	346.8	58
	handle	Verb	19	-	27.9	27
	letting	Verb	19	-	6.0	22
	dwellings	NoC	19	+	111.1	7
	'cos*	Conj	18	+	315.1	3
	objection	NoC	18	+	24.5	12
	employer	NoC	18	-	61.3	32
	batteries	NoC	18	+	137.3	6
	discussing	Verb	18	-	1.7	20
	no doubt	Adv	18	-	130.1	39
	toast	NoC	18	+	71.9	9
