	Word	PoS	FrSp		LL	FrWr
	enough	Adv	241	-	0.5	244
	help	Verb	239	-	50.0	276
	home	NoC	237	-	331.2	340
	aha	Int	237	+	10125.7	1
	under	Prep	234	-	2659.7	590
	tomorrow	Adv	234	+	1831.4	76
	percent	NoC	233	+	8355.1	6
	room	NoC	233	-	235.5	318
	women	NoC	232	-	931.9	418
	paper	NoC	232	+	212.2	166
	heard	Verb	232	+	48.7	199
	taken	Verb	231	-	559.0	369
	so that	Conj	231	+	64.7	193
	lovely	Adj	231	+	3379.6	43
	wan~	Verb	231	+	9356.2	3
	before	Adv	230	+	529.7	133
	far	Adv	229	-	269.5	320
	all	Adv	229	+	73.9	189
	up to	Prep	228	+	386.8	144
	party	NoC	227	-	1035.7	423
	without	Prep	227	-	1611.1	483
	look	NoC	227	+	1120.2	97
	looks	Verb	226	+	1353.8	87
	stop	Verb	225	+	661.8	120
	business	NoC	225	-	643.4	373
	used	Verb	225	-	1783.4	497
	such	DetP	225	-	5912.7	825
	given	Verb	224	-	806.4	392
	making	Verb	224	-	73.4	269
	members	NoC	224	-	222.4	305
	second	Ord	224	-	659.4	373
	taking	Verb	224	+	1.9	217
	men	NoC	223	-	947.9	408
	policy	NoC	223	-	63.6	264
	ai~*	Uncl	221	+	5909.5	15
	hand	NoC	221	-	576.7	358
	couple	NoC	220	+	748.1	111
	before	Prep	220	-	1465.3	459
	hello	Int	220	+	5546.5	17
	problems	NoC	220	-	134.8	281
	ha	Int	220	+	7090.3	8
	book	NoC	220	-	27.4	246
	me*	Det	219	+	9843.4	1
	minute	NoC	219	+	1907.0	66
	asked	Verb	218	-	528.2	348
	best	Adj	217	-	114.5	272
	bring	Verb	216	+	259.4	147
	small	Adj	216	-	1525.0	460
	report	NoC	215	-	50.3	251
	word	NoC	214	+	24.8	191
	eh	Int	211	+	5626.6	14
	months	NoC	211	-	68.0	252
	sit	Verb	209	+	1518.8	72
	found	Verb	209	-	2304.7	521
	rather	Adv	209	-	0.6	213
	looked	Verb	209	-	771.5	368
	particular	Adj	209	-	10.9	225
	fifteen	Num	207	+	3222.3	36
	hope	Verb	206	+	698.3	104
	write	Verb	206	+	828.4	97
	full	Adj	206	-	250.2	290
	information	NoC	206	-	1155.0	407
	saw	Verb	206	-	146.9	268
	words	NoC	205	-	76.0	249
	service	NoC	204	-	395.4	312
	country	NoC	204	-	538.0	332
	seventy	Num	204	+	6319.9	9
	gets	Verb	204	+	1718.5	63
	understand	Verb	203	+	156.2	149
	difficult	Adj	202	-	17.4	222
	exactly	Adv	201	+	782.9	96
	most	Adv	199	-	3559.7	607
	sometimes	Adv	199	-	2.4	206
	weeks	NoC	198	+	137.3	149
	turn	Verb	198	+	373.4	121
	either	Adv	198	-	26.4	222
	better	Adv	197	+	215.9	137
	wants	Verb	197	+	1185.7	76
	top	NoC	196	+	475.5	112
	around	Adv	196	-	20.3	217
	happened	Verb	195	+	237.6	132
	play	Verb	194	+	150.9	143
	bought	Verb	194	+	1068.8	79
	Christmas	NoC	194	+	1125.5	76
	hour	NoC	194	+	559.1	104
	I / i	Lett	193	+	2743.6	37
	in~*	Verb	191	+	8530.9	1
	hours	NoC	191	+	0.2	189
	system	NoC	189	-	2141.5	476
	both	DetP	189	-	626.5	324
	o'clock	Adv	188	+	3095.5	30
	shop	NoC	188	+	687.6	92
	fine	Adj	187	+	293.0	120
	committee	NoC	187	-	0.6	190
	seems	Verb	186	-	38.3	215
